title,publishedAt,duration,topic_categories,view_count,like_count,comment_count,tags,channel_title,playlist_name,playlist_ID,channel_ID,url
GALA - Freed from desire,2013-10-30,214,"['Electronic_music', 'Pop_music']",208024300,1381980.0,48025.0,"['GALA', 'Freed From Desire', 'Official video HD', 'Official video', 'HD', 'Official', 'molella', 'phil jay', 'Gala Rizzatto', ""90's"", 'anni 90', 'Do It Yourself Multimedia Group', 'dance', ""Will Grigg's On Fire"", 'Will Grigg', 'Euro 2016', 'calcio', 'europei', 'soccer', 'will grigg is on fire', 'Irlanda del Nord', 'northern Ireland', 'Wigan Athletic', 'Mitrovic', ""Mitro's on fire"", 'Newcastle', 'Pioli is on fire', 'Pioli', 'Milan', 'AC Milan', ""Pioli's On Fire"", 'na na na na na na na', 'free from desire', 'Ajax', 'HARRY MAGUIRE', 'Manchester United']",DO IT YOURSELF,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UChEzgc8o4xmWCYwjsrZ3wOg,p3l7fgvrEKM
Eric Prydz - Pjanoo (Club Mix),2008-09-19,451,"['Electronic_music', 'Pop_music']",36058099,186509.0,8136.0,"['eric', 'prydz', 'pjanoo', 'pryda', 'swedish', 'house', 'mafia', 'ultra', 'records', 'ultrarecords']",Ultra Records,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UC4rasfm9J-X4jNl9SvXp8xA,f-Nd5aWM2Ks
Danzel - Pump It Up,2008-11-19,231,"['Electronic_music', 'Hip_hop_music', 'Pop_music']",65024868,625566.0,19834.0,"['ultra', 'records', 'music', 'dance', 'electronic', 'electronica', 'house', 'trance', 'electro', 'video', 'danzel', 'pump', 'it', 'up']",Ultra Records,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UC4rasfm9J-X4jNl9SvXp8xA,0HtyF0jux2Q
Lil Wayne - How To Hate Ft T Pain ( Official HD ) The Carter 4,2011-08-27,281,['Hip_hop_music'],1819675,16576.0,580.0,"['lil wayne', 'how to hate', 'the carter 4']",YoungMoneyNewsTV,Remember 3,PL3vg9bEaC1nqWHAWQYjpUrbgHGxidXX_n,UC9-8gVO0zruKgY5a64MOdsA,SBWVvnUNdqg
Tame Impala - The Less I Know The Better,2015-12-17,217,"['Electronic_music', 'Independent_music']",45199162,431435.0,4957.0,['video'],Vladimir Sarkisov,Remember 3,PL3vg9bEaC1nqWHAWQYjpUrbgHGxidXX_n,UCSj_vy5ts6QMMzQZjPcxjEQ,YnmEePUXLRs
Years & Years - King,2015-01-19,235,['Pop_music'],281670631,1615212.0,33056.0,"['Years', 'King', 'Music', 'years and years', 'king years and years lyrics', 'king years and years remix', 'king years and years acoustic', 'king years and years live', 'king years and years', 'years and years king', 'years and years meteorite', 'years and years shine', 'years and years desire', 'years and years eyes shut', 'communion', 'years and years communion', 'communion king', 'It’s sin', 'its sin', 'it’s sin channel', 'its sin channel', 'it’s sin c4']",YearsAndYearsVEVO,Remember 3,PL3vg9bEaC1nqWHAWQYjpUrbgHGxidXX_n,UCv91THkkj4WXJdzvTpvX-Rw,g_uoH6hJilc
The Script - Superheroes,2014-08-04,274,"['Christian_music', 'Pop_music', 'Rock_music']",230158362,1754474.0,43577.0,"['The Script', 'freedom child', 'TheScriptvevo', 'vevo', 'official', 'video', 'music video', 'single', 'album', 'pop', 'Superheroes', 'No Sound Without Silence', 'The Man Who Cant Be Moved', 'Breakeven', 'If You Could See Me Now', 'Hall of Fame', 'summer', 'summer mix', 'summer songs', 'summer music', 'summer playlist', 'chill', 'The Script official video', 'The Script official', 'The Script Superheroes', 'The Script Superheroes official', 'The Script Superheroes video', 'Superheroes official']",TheScriptVEVO,Remember 3,PL3vg9bEaC1nqWHAWQYjpUrbgHGxidXX_n,UCafVZzwtU8XUWbXGs4LYtdg,WIm1GgfRz6M
Oliver ~ Chernobyl,2018-03-19,148,['Hip_hop_music'],1560976,27415.0,2372.0,"['oliver francis', '100k', 'gene simmons', '3 deep', 'wavy', 'wwaavvyy', 'good life freestyle', 'aahyeahh', 'ah yeah', 'lwtgg', 'new years day', 'jellyfish', 'gemini', 'the mud', 'sonic', 'chlorine', 'a million miles an hour', 'yeee', 'tru$t', 'golden halo', 'celebration', 'artripoli']",Oliver Francis,Remember 3,PL3vg9bEaC1nqWHAWQYjpUrbgHGxidXX_n,UCqwoo_xmEHKXIKqKpYMqXNQ,QrLkvYVVLH8
Oliver & Big Baby ~ Carl Edwards,2018-01-19,159,['Hip_hop_music'],626212,13606.0,1453.0,"['oliver francis', 'big baby', 'big baby scumbag', 'good life freestyle', '100k', 'devils advocate', '3 deep', 'wavy', 'wwaavvyy', 'gene simmons', 'jamis winstone', 'jodeci freestyle', 'austin powers', 'pimp c freestyle', 'jelly']",Oliver Francis,Remember 3,PL3vg9bEaC1nqWHAWQYjpUrbgHGxidXX_n,UCqwoo_xmEHKXIKqKpYMqXNQ,cCUq51kXNjA
Oliver ~ 100k,2017-08-09,168,['Hip_hop_music'],3083878,40904.0,3309.0,"['oliver francis', 'aah yeahh', 'yeee', '3 deep', 'gene simmons', 'nothing gold can stay', 'the mud', ""don't start"", 'good life freestyle', ""new year's day"", 'jellyfish', 'jet ski freestyle', 'chlorine', ""don't do that""]",Oliver Francis,Remember 3,PL3vg9bEaC1nqWHAWQYjpUrbgHGxidXX_n,UCqwoo_xmEHKXIKqKpYMqXNQ,PDkHEcj44Ig
